Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Threshold
Logistic Regression,0.9776119402985075,0.4,0.25,0.3076923076923077,0.804251269035533,0.20982464229823383,0.77
Random Forest,0.9651741293532339,0.2,0.25,0.2222222222222222,0.8757931472081218,0.33139965966766416,0.09999999999999999
Multi-task Neural Network,0.9527363184079602,0.17647058823529413,0.375,0.24,0.7620558375634519,0.27758650934842444,0.39
