Model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std
Logistic Regression,0.8328189648116856,0.0989059313349847,0.3333719856637877,0.22317077184556566,0.5238095238095237,0.2042629579954973,0.19856911287945772,0.06566396209064806,0.12289506470540953,0.03883100959471154
Random Forest,0.8991463620126041,0.05972981822316976,0.4200992864018381,0.1843887405430567,0.0,0.0,0.0,0.0,0.0,0.0
