Model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std
Logistic Regression,0.8874280655157151,0.06294994422155453,0.4832924118731989,0.15021232314155133,0.5933333333333334,0.26364959911046915,0.30318309141838556,0.10548653618977302,0.2107408930938343,0.07886187449257083
Random Forest,0.8819812812243091,0.07135085718429518,0.41082605176218345,0.19913613473699238,0.0,0.0,0.0,0.0,0.0,0.0
