Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Threshold
Logistic Regression,0.9701492537313433,0.25,0.25,0.25,0.8071065989847716,0.20688325694583085,0.7000000000000001
Random Forest,0.9527363184079602,0.13333333333333333,0.25,0.17391304347826086,0.8435913705583756,0.32241545464655763,0.13
Multi-task Neural Network,0.9676616915422885,0.2222222222222222,0.25,0.23529411764705882,0.7810913705583756,0.15332148053318664,0.36000000000000004
